Parallelism,GPUType,NumGPUs,Epochs,TotalTime(s),Speedup,Efficiency
FSDP+AMP,v100-sxm2,1,5,107.27,5.59,5.59
FSDP+AMP,v100-sxm2,2,5,57.86,10.37,5.18
FSDP+AMP,v100-sxm2,4,5,48.22,12.44,3.11
FSDP+AMP,v100-sxm2,3,5,47.79,12.56,4.19
